"Metric","p_emo","p_type","p_int","peta_int","pFDR_emo","pFDR_type","pFDR_int"
"Q1",2.01027440556325e-24,4.60850201672971e-08,6.88865657200251e-08,0.145,5.02568601390812e-24,5.76062752091213e-08,1.14810942866708e-07
"Q2",2.17657272150573e-19,8.93798866808033e-09,7.94929378769783e-06,0.117,2.72071590188216e-19,1.48966477801339e-08,7.94929378769783e-06
"Q3",1.16030772001844e-18,4.23511677131562e-11,5.16386208758444e-07,0.134,1.16030772001844e-18,2.11755838565781e-10,6.45482760948055e-07
"Q4",9.89691660280096e-22,8.48713196475553e-06,1.69799600482862e-11,0.189,1.64948610046683e-21,8.48713196475553e-06,8.48998002414308e-11
"Q_mean",1.48278693210341e-25,4.40846386565398e-10,7.03231739689769e-10,0.17,7.41393466051704e-25,1.10211596641349e-09,1.75807934922442e-09
