"Metric","p_emo","peta_emo","p_type","peta_type","p_int","peta_int","pFDR_emo","pFDR_type","pFDR_int"
"Avg pupil diameter (mm)",2.87256485565088e-66,0.336,5.59566203621888e-170,0.644,5.14841436187157e-41,0.253,1.43628242782544e-65,2.79783101810944e-169,2.57420718093578e-40
"Total fixation duration (ms)",6.27463781715038e-05,0.032,9.70795938584364e-08,0.046,1.18885493659912e-07,0.071,0.000156865945428759,9.70795938584364e-08,1.98142489433187e-07
"Number of fixations",0.000425468465706026,0.026,2.83338590869229e-25,0.143,1.0517969840361e-07,0.071,0.000709114109510043,4.72230984782049e-25,1.98142489433187e-07
"Number of saccades in AOI",0.290715346866178,0.006,6.84629450511443e-31,0.172,0.000262915863214882,0.047,0.290715346866178,1.71157362627861e-30,0.000328644829018603
"Time to first whole fixation (ms)",0.00838563743875104,0.018,1.04593204166682e-09,0.058,0.00896395654187055,0.035,0.0104820467984388,1.30741505208352e-09,0.00896395654187055
