"ROI","F_emo","p_emo","peta_emo","F_type","p_type","F_int","p_int","pFDR_emo","pFDR_type","pFDR_int"
"Left DLPFC",7.15559777776043,1.59787858991318e-05,0.084,0.534786701269023,0.658751465949651,0.459945117273264,0.936688250704601,0.000127830287193055,0.966926309011775,0.981776322469875
"Right DLPFC",1.13446602046323,0.340174559496118,0.014,0.501693265918506,0.681370394776835,0.667649652098215,0.782307635209702,0.453566079328157,0.966926309011775,0.981776322469875
"Left FPC",6.40335701764395,5.80505493152424e-05,0.076,0.0873847928861206,0.966926309011775,0.653275326769171,0.795518898054612,0.000219457992759949,0.966926309011775,0.981776322469875
"Right FPC",4.16259024447144,0.00269060304485285,0.053,0.24234989213856,0.866746869323628,0.517668837509122,0.902935007127582,0.00430496487176456,0.966926309011775,0.981776322469875
"Left VLPFC",1.00813344732868,0.403354293518653,0.013,0.21921510096544,0.883035813924584,0.592776292834992,0.847871158610484,0.460976335449889,0.966926309011775,0.981776322469875
"Right VLPFC",0.137196097391079,0.968437266634498,0.002,0.297163843374211,0.827440751987633,0.456033144263162,0.938546258540849,0.968437266634498,0.966926309011775,0.981776322469875
"Left OFC",6.02179090870266,0.000109728996379975,0.069,0.123717398801551,0.94606330712175,0.337713920918783,0.981776322469875,0.000219457992759949,0.966926309011775,0.981776322469875
"Right OFC",6.02179090870266,0.000109728996379975,0.069,0.123717398801551,0.94606330712175,0.337713920918783,0.981776322469875,0.000219457992759949,0.966926309011775,0.981776322469875
