"Metric","p_emo","peta_emo","p_type","peta_type","p_int","peta_int","pFDR_emo","pFDR_type","pFDR_int"
"Avg pupil diameter (mm)",5.11862017677236e-64,0.327,4.63897425431207e-166,0.635,6.12394269855628e-40,0.248,2.55931008838618e-63,2.31948712715604e-165,3.06197134927814e-39
"Total fixation duration (ms)",7.5773410828187e-08,0.05,2.09240754561199e-06,0.038,2.53549080218673e-05,0.054,1.89433527070468e-07,2.09240754561199e-06,4.22581800364455e-05
"Number of fixations",0.000177193396615283,0.029,2.47396646271871e-26,0.148,4.01788409877618e-08,0.074,0.000295322327692139,4.12327743786451e-26,1.00447102469404e-07
"Number of saccades in AOI",0.179530973986777,0.008,1.4111606680228e-30,0.17,4.2692441856956e-05,0.053,0.179530973986777,3.52790167005699e-30,5.3365552321195e-05
"Time to first whole fixation (ms)",0.00567996611741296,0.019,4.07863266694511e-10,0.06,0.0053799179605759,0.037,0.0070999576467662,5.09829083368139e-10,0.0053799179605759
