"Metric","p_type_base","p_type_orderadj","p_int_base","p_int_orderadj","p_trialorder","p_type_trimmed","p_int_trimmed"
"Avg pupil diameter (mm)",4.63897425431207e-166,1.05462099448697e-133,6.12394269855628e-40,3.98863847208914e-40,0.0123975088697304,3.5001972693649e-133,9.08323050957057e-27
"Total fixation duration (ms)",2.09240754561199e-06,1.78687271200785e-22,2.53549080218673e-05,3.34127075914136e-22,5.39297201740681e-22,5.35200344921577e-10,0.168243741689889
"Number of fixations",2.47396646271871e-26,3.70629220121512e-37,4.01788409877618e-08,7.64134788256386e-18,1.15474627231464e-12,1.14225756071742e-23,1.2817451695186e-07
"Number of saccades in AOI",1.4111606680228e-30,6.53913696940353e-37,4.2692441856956e-05,8.64225575752338e-11,1.99208764916806e-08,5.85517124409515e-27,2.84086279244708e-05
"Time to first whole fixation (ms)",4.07863266694511e-10,5.59376683466258e-09,0.0053799179605759,0.0174081404193468,0.545978079277036,3.75674109974056e-11,0.129900192291064
