"N","r","BF10","Emotion","ROI","Outcome","OutcomeType","version"
70,0.12288482946087,0.495090615234901,"anger","Left FPC","Number_of_fixations","ET","V1_pooled"
73,-0.123299499951094,0.490973526472781,"disgust","Left OFC","Q3","Survey","V1_pooled"
73,-0.128916209543397,0.490973526472781,"disgust","Right OFC","Q3","Survey","V1_pooled"
71,-0.126480551069569,0.487525187915275,"fear","Left VLPFC","Q_mean","Survey","V1_pooled"
68,-0.121247347044131,0.483443020402838,"disgust","Right FPC","Q2","Survey","V1_pooled"
65,-0.128333575267047,0.477934113242107,"sadness","Right VLPFC","Average_duration_of_fixations","ET","V1_pooled"
72,-0.12024267268473,0.477444032962287,"anger","Right DLPFC","Average_pupil_diameter","ET","V1_pooled"
72,-0.121947412724003,0.463949358596836,"fear","Right DLPFC","Q1","Survey","V1_pooled"
70,0.117062882905993,0.462454810088206,"anger","Left DLPFC","Average_duration_of_fixations","ET","V1_pooled"
71,0.113916965199957,0.456278019483451,"sadness","Left VLPFC","Q1","Survey","V1_pooled"
71,-0.113525568088561,0.454687433289637,"sadness","Left VLPFC","Average_pupil_diameter","ET","V1_pooled"
73,-0.114800210544415,0.449042690559029,"sadness","Left OFC","Average_pupil_diameter","ET","V1_pooled"
73,-0.115346181819466,0.449042690559029,"sadness","Right OFC","Average_pupil_diameter","ET","V1_pooled"
70,-0.112118176757271,0.449004979210172,"disgust","Left FPC","Q2","Survey","V1_pooled"
72,0.113711884520019,0.448947092089521,"sadness","Right DLPFC","Q4","Survey","V1_pooled"
72,-0.110899231232215,0.442999540119734,"anger","Right DLPFC","Number_of_fixations","ET","V1_pooled"
65,0.118825205128056,0.441137038836066,"sadness","Right VLPFC","Q2","Survey","V1_pooled"
73,-0.112154339830575,0.441044664894556,"anger","Left OFC","Number_of_fixations","ET","V1_pooled"
73,-0.114357651407384,0.441044664894556,"anger","Right OFC","Number_of_fixations","ET","V1_pooled"
71,-0.110160026038236,0.439672696967109,"sadness","Left VLPFC","Number_of_fixations","ET","V1_pooled"
65,0.111451074387614,0.439295439901412,"sadness","Right VLPFC","Q3","Survey","V1_pooled"
73,-0.109704711397203,0.438901090670863,"fear","Left OFC","Q4","Survey","V1_pooled"
73,-0.11161846609545,0.438901090670863,"fear","Right OFC","Q4","Survey","V1_pooled"
70,-0.111225595322865,0.436616964956376,"fear","Left DLPFC","Average_duration_of_fixations","ET","V1_pooled"
68,0.110531273732609,0.436322579175291,"fear","Left VLPFC","Average_eye_openness","ET","V1_pooled"
64,0.107680493896857,0.432158873036616,"fear","Right FPC","Average_eye_openness","ET","V1_pooled"
68,-0.108804797504862,0.432001375696904,"anger","Right FPC","Total_duration_of_fixations","ET","V1_pooled"
71,0.111055263370244,0.430027160686,"sadness","Left VLPFC","Q3","Survey","V1_pooled"
68,0.107464150491561,0.428940784820632,"joy","Right FPC","Average_pupil_diameter","ET","V1_pooled"
73,-0.109490811136103,0.428861350200088,"sadness","Left OFC","Number_of_fixations","ET","V1_pooled"
73,-0.11350864567144,0.428861350200088,"sadness","Right OFC","Number_of_fixations","ET","V1_pooled"
73,-0.105587388075014,0.421876515611069,"disgust","Left OFC","Q1","Survey","V1_pooled"
73,-0.109328407186181,0.421876515611069,"disgust","Right OFC","Q1","Survey","V1_pooled"
71,-0.106388691555138,0.419356472522192,"anger","Left VLPFC","Q2","Survey","V1_pooled"
71,-0.104889810104967,0.417717736906726,"fear","Left VLPFC","Q2","Survey","V1_pooled"
68,-0.10642864952142,0.41380752390539,"sadness","Right FPC","Average_duration_of_fixations","ET","V1_pooled"
71,-0.10347661535356,0.41068615099227,"disgust","Left VLPFC","Q2","Survey","V1_pooled"
65,0.106758006906542,0.408167674464588,"joy","Right VLPFC","Q1","Survey","V1_pooled"
68,-0.102133947253416,0.406660410318453,"joy","Right FPC","Q1","Survey","V1_pooled"
71,0.105904642991897,0.406309103143832,"anger","Left VLPFC","Number_of_fixations","ET","V1_pooled"
71,0.104626036918357,0.404252590902668,"joy","Left VLPFC","Q1","Survey","V1_pooled"
73,0.103980302238976,0.403810008552136,"anger","Left OFC","Q_mean","Survey","V1_pooled"
73,0.102918082544006,0.403810008552136,"anger","Right OFC","Q_mean","Survey","V1_pooled"
71,0.104468726702615,0.40210089818884,"sadness","Left VLPFC","Q4","Survey","V1_pooled"
73,0.103282952891166,0.401040584541948,"anger","Left OFC","Q2","Survey","V1_pooled"
73,0.103135029555032,0.401040584541948,"anger","Right OFC","Q2","Survey","V1_pooled"
71,-0.101494427768882,0.400416605611877,"disgust","Left VLPFC","Average_pupil_diameter","ET","V1_pooled"
70,0.0992457902390122,0.394930635806103,"disgust","Left DLPFC","Average_duration_of_fixations","ET","V1_pooled"
70,-0.101755623321515,0.394510521945681,"disgust","Left FPC","Q4","Survey","V1_pooled"
70,-0.103092068627189,0.393853643795753,"fear","Left FPC","Q_mean","Survey","V1_pooled"
71,0.096504382584471,0.393118411280419,"sadness","Left VLPFC","Q_mean","Survey","V1_pooled"
70,0.0956416296281519,0.39211360886651,"anger","Left DLPFC","Q3","Survey","V1_pooled"
70,0.0978630103609265,0.390625532510675,"disgust","Left FPC","Average_duration_of_fixations","ET","V1_pooled"
72,-0.0941738396321273,0.38778562576912,"fear","Right DLPFC","Total_duration_of_fixations","ET","V1_pooled"
70,-0.0969147122727587,0.386518505717964,"joy","Left DLPFC","Q_mean","Survey","V1_pooled"
68,-0.09178613393998,0.384982853656571,"sadness","Right FPC","Average_pupil_diameter","ET","V1_pooled"
72,-0.0937719563178352,0.383876006588724,"disgust","Right DLPFC","Q1","Survey","V1_pooled"
70,-0.0921162571711006,0.382858819731633,"disgust","Left FPC","Q_mean","Survey","V1_pooled"
70,0.0935183409710965,0.381087021609751,"disgust","Left DLPFC","Q3","Survey","V1_pooled"
70,0.0930197996427195,0.380236903036002,"anger","Left DLPFC","Q1","Survey","V1_pooled"
72,0.0991012063238832,0.379218743467937,"sadness","Right DLPFC","Q_mean","Survey","V1_pooled"
71,-0.095373302248623,0.378544512517301,"disgust","Left VLPFC","Q_mean","Survey","V1_pooled"
68,-0.090875731635343,0.377735486818854,"joy","Right FPC","Number_of_fixations","ET","V1_pooled"
70,-0.0953722153449278,0.377079349486017,"fear","Left FPC","Q4","Survey","V1_pooled"
71,-0.0942231896436901,0.368378569958697,"anger","Left VLPFC","Q_mean","Survey","V1_pooled"
73,-0.0895555096111733,0.368341935906495,"joy","Left OFC","Q2","Survey","V1_pooled"
73,-0.0906536414440704,0.368341935906495,"joy","Right OFC","Q2","Survey","V1_pooled"
71,0.0852655277297916,0.36628972053541,"joy","Left VLPFC","Average_duration_of_fixations","ET","V1_pooled"
73,0.0855205919017464,0.366236272170264,"anger","Left OFC","Q3","Survey","V1_pooled"
73,0.09151486609772,0.366236272170264,"anger","Right OFC","Q3","Survey","V1_pooled"
73,-0.089589620646707,0.365738888723037,"fear","Left OFC","Q_mean","Survey","V1_pooled"
73,-0.0910451451645707,0.365738888723037,"fear","Right OFC","Q_mean","Survey","V1_pooled"
68,0.0865904561244277,0.36395244474306,"anger","Right FPC","Q4","Survey","V1_pooled"
73,0.0892928326734558,0.362557195540551,"disgust","Left OFC","Average_duration_of_fixations","ET","V1_pooled"
73,0.0920777509269905,0.362557195540551,"disgust","Right OFC","Average_duration_of_fixations","ET","V1_pooled"
65,-0.0902333241505918,0.362171890874037,"fear","Right VLPFC","Average_eye_openness","ET","V1_pooled"
70,-0.0884479434594855,0.362138973295323,"fear","Left FPC","Q3","Survey","V1_pooled"
68,0.0863431954582107,0.360374468787886,"fear","Right FPC","Average_pupil_diameter","ET","V1_pooled"
68,0.082875317337683,0.359930928914939,"sadness","Right FPC","Q3","Survey","V1_pooled"
73,-0.0900182705603515,0.358207681690923,"fear","Left OFC","Total_duration_of_fixations","ET","V1_pooled"
73,-0.0872880500464691,0.358207681690923,"fear","Right OFC","Total_duration_of_fixations","ET","V1_pooled"
68,-0.082646868473436,0.353591195281109,"fear","Right DLPFC","Average_eye_openness","ET","V1_pooled"
68,-0.0787214438141082,0.351796155673929,"fear","Right FPC","Average_duration_of_fixations","ET","V1_pooled"
65,-0.0783067384962657,0.350588700134894,"fear","Right VLPFC","Average_duration_of_fixations","ET","V1_pooled"
73,-0.0835371992717102,0.349983372003702,"fear","Left OFC","Q2","Survey","V1_pooled"
73,-0.0825166747605593,0.349983372003702,"fear","Right OFC","Q2","Survey","V1_pooled"
65,0.0757921599148605,0.34934740778728,"joy","Right VLPFC","Q3","Survey","V1_pooled"
73,0.083968177124609,0.348568407932127,"sadness","Left OFC","Q_mean","Survey","V1_pooled"
73,0.079285325504285,0.348568407932127,"sadness","Right OFC","Q_mean","Survey","V1_pooled"
72,-0.078589575299726,0.347903747118011,"joy","Right DLPFC","Average_duration_of_fixations","ET","V1_pooled"
65,-0.0782325772072085,0.346893734614163,"disgust","Right VLPFC","Q1","Survey","V1_pooled"
68,-0.0751927171082282,0.346323133443287,"joy","Right FPC","Q2","Survey","V1_pooled"
70,0.0818691614325658,0.345353228913419,"anger","Left DLPFC","Total_duration_of_fixations","ET","V1_pooled"
70,0.0805644348257362,0.344854977113135,"sadness","Left DLPFC","Q_mean","Survey","V1_pooled"
71,0.0803628760089417,0.343729098375095,"joy","Left VLPFC","Q3","Survey","V1_pooled"
72,0.0782909973056066,0.342489383247619,"fear","Right DLPFC","Q3","Survey","V1_pooled"
71,0.0777928307924276,0.341113493527907,"fear","Left VLPFC","Number_of_fixations","ET","V1_pooled"
70,0.0774337218923557,0.339784815562775,"anger","Left FPC","Q4","Survey","V1_pooled"
70,0.07983327850618,0.33820444247344,"sadness","Left DLPFC","Q4","Survey","V1_pooled"
71,-0.0772772817933041,0.337720775355326,"anger","Left VLPFC","Q3","Survey","V1_pooled"
70,-0.0793400406708925,0.337002672031467,"joy","Left DLPFC","Total_duration_of_fixations","ET","V1_pooled"
70,-0.0737550033154473,0.334868202245175,"anger","Left FPC","Total_duration_of_fixations","ET","V1_pooled"
70,-0.0705498709677029,0.33103938296542,"joy","Left DLPFC","Number_of_fixations","ET","V1_pooled"
71,-0.075734723979273,0.329843274825234,"anger","Left VLPFC","Average_pupil_diameter","ET","V1_pooled"
65,0.0725875899821584,0.329564508070692,"sadness","Right VLPFC","Q_mean","Survey","V1_pooled"
68,0.0663812525205757,0.328301594229151,"fear","Right FPC","Total_duration_of_fixations","ET","V1_pooled"
68,0.0708330493374665,0.327750005704205,"sadness","Right FPC","Q_mean","Survey","V1_pooled"
70,-0.064516839958614,0.327408442710951,"disgust","Left FPC","Q3","Survey","V1_pooled"
65,0.0657608906360293,0.324198305027979,"joy","Right VLPFC","Q_mean","Survey","V1_pooled"
72,-0.0660529208831203,0.323612817789501,"fear","Right DLPFC","Average_pupil_diameter","ET","V1_pooled"
65,0.0622994836604096,0.323065456427272,"joy","Right VLPFC","Q2","Survey","V1_pooled"
68,0.0650956661723634,0.322949478635701,"sadness","Right FPC","Q2","Survey","V1_pooled"
72,0.0674243564442889,0.322261871511286,"anger","Right DLPFC","Q1","Survey","V1_pooled"
66,-0.0625444158942656,0.322064014234599,"fear","Left DLPFC","Average_eye_openness","ET","V1_pooled"
73,-0.0687107825991969,0.32202033908592,"fear","Left OFC","Average_duration_of_fixations","ET","V1_pooled"
73,-0.0692384119727035,0.32202033908592,"fear","Right OFC","Average_duration_of_fixations","ET","V1_pooled"
73,-0.0703726631124997,0.321856219392904,"disgust","Left OFC","Average_pupil_diameter","ET","V1_pooled"
73,-0.0683618600880389,0.321856219392904,"disgust","Right OFC","Average_pupil_diameter","ET","V1_pooled"
70,-0.0688065031690427,0.32136181524873,"disgust","Left FPC","Q1","Survey","V1_pooled"
70,-0.0694050085439109,0.321252923370285,"fear","Left DLPFC","Q_mean","Survey","V1_pooled"
70,-0.0641426306625784,0.321235167634205,"joy","Left DLPFC","Q1","Survey","V1_pooled"
70,-0.0664333278378357,0.321058697036122,"fear","Left FPC","Average_duration_of_fixations","ET","V1_pooled"
72,0.0698768411662671,0.320473387048875,"fear","Right DLPFC","Average_duration_of_fixations","ET","V1_pooled"
73,0.069194176340647,0.32043969476388,"sadness","Left OFC","Q4","Survey","V1_pooled"
73,0.0691692164200182,0.32043969476388,"sadness","Right OFC","Q4","Survey","V1_pooled"
71,-0.0640108662741048,0.317159849387884,"fear","Left VLPFC","Q3","Survey","V1_pooled"
68,-0.0540469236394272,0.316219129958941,"fear","Right FPC","Q2","Survey","V1_pooled"
70,-0.0660135092664209,0.316095727381938,"joy","Left DLPFC","Q3","Survey","V1_pooled"
68,0.0583812645549107,0.314343151777899,"sadness","Right FPC","Q4","Survey","V1_pooled"
68,-0.0626238555249063,0.313695840306652,"anger","Right FPC","Q1","Survey","V1_pooled"
70,-0.0597915607054776,0.31242094786744,"fear","Left FPC","Q2","Survey","V1_pooled"
68,-0.0587076781892936,0.311837159894172,"joy","Right FPC","Q_mean","Survey","V1_pooled"
65,0.053254920437064,0.310926376228155,"anger","Right VLPFC","Number_of_fixations","ET","V1_pooled"
70,0.0558693443845783,0.310081612057353,"anger","Left FPC","Q3","Survey","V1_pooled"
69,-0.0599359530509088,0.309751950113589,"anger","Left OFC","Average_eye_openness","ET","V1_pooled"
69,-0.0523797786676208,0.309751950113589,"anger","Right OFC","Average_eye_openness","ET","V1_pooled"
71,0.0595947770701839,0.309676935402207,"fear","Left VLPFC","Total_duration_of_fixations","ET","V1_pooled"
70,-0.0549300736890785,0.308802301153342,"fear","Left DLPFC","Q4","Survey","V1_pooled"
71,0.0571315798140569,0.307276936512424,"joy","Left VLPFC","Average_pupil_diameter","ET","V1_pooled"
65,-0.0494792227060883,0.30675857026114,"anger","Right VLPFC","Q1","Survey","V1_pooled"
72,0.0574046879970191,0.306578681080812,"sadness","Right DLPFC","Q1","Survey","V1_pooled"
70,0.0535250274993691,0.305858670783769,"disgust","Left DLPFC","Q_mean","Survey","V1_pooled"
73,-0.0631585589709291,0.305188654811723,"anger","Left OFC","Total_duration_of_fixations","ET","V1_pooled"
73,-0.0613475303120842,0.305188654811723,"anger","Right OFC","Total_duration_of_fixations","ET","V1_pooled"
68,0.0563004297302262,0.30493839426171,"anger","Right FPC","Average_duration_of_fixations","ET","V1_pooled"
71,0.0555126801649588,0.304662719907801,"anger","Left VLPFC","Q4","Survey","V1_pooled"
70,0.0607085387330743,0.304523134642192,"disgust","Left DLPFC","Q1","Survey","V1_pooled"
70,0.0563467641267216,0.303892560192368,"anger","Left FPC","Q_mean","Survey","V1_pooled"
71,0.0530381371609195,0.303301080357208,"fear","Left VLPFC","Average_pupil_diameter","ET","V1_pooled"
65,0.0465815460636285,0.302789355137534,"anger","Right VLPFC","Q3","Survey","V1_pooled"
68,-0.0499790778491506,0.301364704229027,"fear","Right FPC","Q1","Survey","V1_pooled"
73,0.0586069375883658,0.301105723675054,"anger","Left OFC","Average_duration_of_fixations","ET","V1_pooled"
73,0.0536241771519449,0.301105723675054,"anger","Right OFC","Average_duration_of_fixations","ET","V1_pooled"
72,0.0561927207886187,0.300222478523854,"anger","Right DLPFC","Average_duration_of_fixations","ET","V1_pooled"
70,-0.0515678933864872,0.299519627567591,"joy","Left DLPFC","Average_duration_of_fixations","ET","V1_pooled"
65,0.0377102120217788,0.299148257926997,"sadness","Right VLPFC","Q1","Survey","V1_pooled"
70,0.0493266218496613,0.298888094131912,"sadness","Left DLPFC","Q1","Survey","V1_pooled"
70,-0.0517229722251171,0.298355031407543,"joy","Left DLPFC","Q4","Survey","V1_pooled"
68,-0.0470347847423256,0.298093072762612,"joy","Right FPC","Q4","Survey","V1_pooled"
73,-0.0529702952881683,0.296790851047767,"joy","Left OFC","Average_duration_of_fixations","ET","V1_pooled"
73,-0.0483639398869697,0.296790851047767,"joy","Right OFC","Average_duration_of_fixations","ET","V1_pooled"
71,-0.0412751105301227,0.296082318655569,"anger","Left VLPFC","Average_duration_of_fixations","ET","V1_pooled"
73,0.0538460183620793,0.295304498464823,"joy","Left OFC","Q3","Survey","V1_pooled"
73,0.051206506488916,0.295304498464823,"joy","Right OFC","Q3","Survey","V1_pooled"
