"N","r","BF10","Emotion","ROI","Outcome","OutcomeType","version"
19,-0.16615496422107,0.672428007536302,"fear","Left OFC","Q2","Survey","V2_ptagg"
19,-0.158229842612967,0.672428007536302,"fear","Right OFC","Q2","Survey","V2_ptagg"
20,-0.168826677266976,0.666234512722724,"disgust","Left FPC","Q2","Survey","V2_ptagg"
19,-0.161860502579896,0.664451315451206,"fear","Left OFC","Q4","Survey","V2_ptagg"
19,-0.154292151251433,0.664451315451206,"fear","Right OFC","Q4","Survey","V2_ptagg"
19,-0.160623526594012,0.661400288823731,"sadness","Left OFC","Average_duration_of_fixations","ET","V2_ptagg"
19,-0.162992266068183,0.661400288823731,"sadness","Right OFC","Average_duration_of_fixations","ET","V2_ptagg"
20,-0.161561697393985,0.660263090192613,"fear","Right FPC","Q2","Survey","V2_ptagg"
20,-0.168574559779859,0.659766692100098,"fear","Left FPC","Q4","Survey","V2_ptagg"
19,-0.161176549162695,0.658353096224837,"fear","Left OFC","Q_mean","Survey","V2_ptagg"
19,-0.157508518971497,0.658353096224837,"fear","Right OFC","Q_mean","Survey","V2_ptagg"
19,0.156308257847263,0.650923112006385,"disgust","Left DLPFC","Q2","Survey","V2_ptagg"
20,-0.151965339976659,0.649509905858085,"joy","Right FPC","Q2","Survey","V2_ptagg"
20,-0.158120839419457,0.648116778218298,"disgust","Right DLPFC","Total_duration_of_fixations","ET","V2_ptagg"
19,0.150371162990635,0.647117844132898,"sadness","Left OFC","Q3","Survey","V2_ptagg"
19,0.155299748833685,0.647117844132898,"sadness","Right OFC","Q3","Survey","V2_ptagg"
20,-0.147858383547879,0.640154203212756,"disgust","Left VLPFC","Average_pupil_diameter","ET","V2_ptagg"
20,0.148667976235395,0.637783153955866,"anger","Right DLPFC","Total_duration_of_fixations","ET","V2_ptagg"
19,0.15299113971626,0.636545850211257,"disgust","Left DLPFC","Q_mean","Survey","V2_ptagg"
20,-0.149256649185916,0.635497341191025,"sadness","Left FPC","Average_duration_of_fixations","ET","V2_ptagg"
20,-0.143567875085945,0.635448136177696,"anger","Right FPC","Average_duration_of_fixations","ET","V2_ptagg"
20,-0.147862725782077,0.632423636443868,"sadness","Left FPC","Number_of_fixations","ET","V2_ptagg"
19,-0.145829400415691,0.62905795861948,"disgust","Right DLPFC","Average_eye_openness","ET","V2_ptagg"
20,-0.148827572216782,0.625916882593558,"disgust","Right FPC","Q1","Survey","V2_ptagg"
18,0.143923798612709,0.625299878967653,"anger","Right VLPFC","Q4","Survey","V2_ptagg"
20,-0.155957955216115,0.621447573154629,"fear","Right FPC","Average_duration_of_fixations","ET","V2_ptagg"
19,-0.15384198556239,0.619372611859957,"joy","Left OFC","Q2","Survey","V2_ptagg"
19,-0.141554616340866,0.619372611859957,"joy","Right OFC","Q2","Survey","V2_ptagg"
19,-0.13775774632476,0.617331182671366,"fear","Left DLPFC","Q1","Survey","V2_ptagg"
18,0.142388174137694,0.615288502094409,"sadness","Right VLPFC","Q4","Survey","V2_ptagg"
19,0.132826587778175,0.613348329993307,"anger","Right DLPFC","Average_eye_openness","ET","V2_ptagg"
20,0.145288320035116,0.611593206866538,"joy","Left VLPFC","Q1","Survey","V2_ptagg"
19,-0.129642377227987,0.609961733086385,"sadness","Left DLPFC","Average_duration_of_fixations","ET","V2_ptagg"
